LTGNR,KD_LTGNR,SLNR,LAENG,ART,QUERS,FARBE,KSID,ABGRIF1,KA1,ANSCH1,ABGRIF2,KA2,ANSCH2,PLATZ,BGID,TARGET_BG,BG_LIDENT,BG_CIDENT,Kaufteil,SEAL1,SEAL2,TOP1,TOP2,MW_IDENT,LIDENT,SL_LIDENT,CIDENT,KD_ABGRIF1,KD_ABGRIF2,V_IDENT,V_IDENT_VERS,SIGNAL,LTG_KENNUNG
116078,116078,,850,YR,"0,35",br bl,P1222294,SP_31KLIMA2,,,ECOX,3,24148,10o,B3KLI2,band,,,,,,16,,950122,L0461020,,C0296094,SP_31KLIMA2,ECOX,V1202288,4,M.31-SM..EX21_B14,SIGNAL
116078,116078,,850,YR,"0,35",br bl,P1222298,SP_31KLIMA2,,,ECOX,3,24148,10o,B3KLI2,band,,,,,,16,,950122,L0461020,,C0296094,SP_31KLIMA2,ECOX,V1202288,4,M.31-SM..EX21_B14,SIGNAL
116079,116079,,1270,YR,"0,35",br bl,P1222288,SP_31KLIMA2,,,PTIR1,7,800,10o,B6KLI2,band,,,,,,16,,950122,L0633719,,C2131657,SP_31KLIMA2,PTIR1,V1202558,2,M.31-SM..EX21_B14,SIGNAL
116079,116079,,1270,YR,"0,35",br bl,P1222290,SP_31KLIMA2,,,PTIR1,7,800,10o,B7KLI2,band,,,,,,16,,950122,L0633719,,C2131657,SP_31KLIMA2,PTIR1,V1202559,3,M.31-SM..EX21_B14,SIGNAL
116079,116079,,1270,YR,"0,35",br bl,P1222292,SP_31KLIMA2,,,PTIR1,7,800,10o,B4KLI2,band,,,,,,16,,950122,L0633719,,C2131657,SP_31KLIMA2,PTIR1,V1202289,3,M.31-SM..EX21_B14,SIGNAL
116079,116079,,1270,YR,"0,35",br bl,P1222294,SP_31KLIMA2,,,PTIR1,7,800,10o,B3KLI2,band,,,,,,16,,950122,L0633719,,C2131657,SP_31KLIMA2,PTIR1,V1202288,4,M.31-SM..EX21_B14,SIGNAL
116079,116079,,1270,YR,"0,35",br bl,P1222296,SP_31KLIMA2,,,PTIR1,7,800,10o,B7KLI2,band,,,,,,16,,950122,L0633719,,C2131657,SP_31KLIMA2,PTIR1,V1202559,3,M.31-SM..EX21_B14,SIGNAL
116079,116079,,1270,YR,"0,35",br bl,P1222298,SP_31KLIMA2,,,PTIR1,7,800,10o,B3KLI2,band,,,,,,16,,950122,L0633719,,C2131657,SP_31KLIMA2,PTIR1,V1202288,4,M.31-SM..EX21_B14,SIGNAL
11629a,11629a,,4310,YR,"0,35",ws bl,P1213468,QCLA,1,24148,HCL1,1,24148,10o,band,pfsb,,,,,,,,950112,L0460933,,C0623149,QCLA,HCL1,,,D.AC_LIN4..,SIGNAL
11629a,11629a,,4310,YR,"0,35",ws bl,P1213470,QCLA,1,24148,HCL1,1,24148,10o,band,pfsb,,,,,,,,950112,L0460933,,C0623149,QCLA,HCL1,,,D.AC_LIN4..,SIGNAL
11629a,11629a,,4310,YR,"0,35",ws bl,P1222290,QCLE,8,24148,HCL1,1,24148,10o,band,pfsb,,,,,,,,950112,L0460933,,C0623149,QCLE,HCL1,,,D.AC_LIN4..,SIGNAL
11629a,11629a,,4310,YR,"0,35",ws bl,P1222294,QCLE,8,24148,HCL1,1,24148,10o,band,pfsb,,,,,,,,950112,L0460933,,C0623149,QCLE,HCL1,,,D.AC_LIN4..,SIGNAL
126501,126501,,5350,YR,"0,35",br,P1222199,ESMH_R,2,24150,SP_GURT_R,,,,VL125R,BGURTT,L0811792,C2132666,,,,,16,950002,L0470534,,C1495865,ESMH_R,SP_GURT_R,V1201114,15,X.31Air..GS_H_STG_L0R,SIGNAL
126502,126502,,5350,YR,"0,35",gn,P1222199,SP_SBS_M_R,,,QAG_R,78,28303,,VL125R,BGURTT,L0811792,C2132666,,,,16,,950004,L0723682,,C2131800,SP_SBS_M_R,QAG_R,V1201114,15,S.GS_HA_BF..rC_L0R,SIGNAL
126503,126503,,1140,YR,"0,35",sw,P1222199,EGHB_R,4,24351,ESMH_R,1,24150,05c,VL656R,BSBSBR,L0811795,C2134310,,,,,,950001,L0811794,,C2133020,EGHB_R,ESMH_R,V1202245,4,X.31Air..GS_H_L0R,SIGNAL
126503,126503,,1140,YR,"0,35",sw,P1222198,EGHB_R,4,24351,ESMH_R,1,24150,05c,VL656R,BSBSNR,L0811795,C2134310,,,,,,950001,L0811794,,C2133020,EGHB_R,ESMH_R,V1202402,5,X.31Air..GS_H_L0R,SIGNAL
126504,126504,,1540,YR,"0,35",rt,P1222198,ESFH_R,1,24150,EGHF_R,2,24353,,VL657R,BSBSOR,L0812621,C2132667,,,,,,950009,L0811820,,C2131673,ESFH_R,EGHF_R,V1202401,4,X.31Air..GS_HR_L0R,SIGNAL
126504,126504,,1540,YR,"0,35",rt,P1222199,ESFH_R,1,24150,EGHF_R,2,24353,,VL657R,BSBSFR,L0812621,C2132667,,,,,,950009,L0811820,,C2131673,ESFH_R,EGHF_R,V1202244,3,X.31Air..GS_HR_L0R,SIGNAL
126505,126505,,5460,YR,"0,35",br,P1222199,ESFH_R,2,24150,SP_GURT_R,,,,VL659R,BGURTT,L0816524,C1685272,,,,,16,950002,L0470534,,C1331553,ESFH_R,SP_GURT_R,V1201114,15,X.31Air..GS_H_STG_L0R,SIGNAL
126506,126506,,5460,YR,"0,35",vi,P1222199,SP_SBS_F_R,,,QAG_R,77,28303,,VL659R,BGURTT,L0816524,C1685272,,,,16,,950007,L0732683,,C1685051,SP_SBS_F_R,QAG_R,V1201114,15,S.GS_HA_F..rD_L0R,SIGNAL
126507,126507,,3900,YR,"0,35",gn rt,P1222199,QAG_R,73,28303,PSIR,8,1066,02b,VL126R,BSPGSR,L0773816,C1720160,,,,,,950170,L0717498,,C1720140,QAG_R,PSIR,V1201222,11,S.GS_HA_F..fD_L0R,SIGNAL
126508,126508,,3900,YR,"0,35",br bl,P1222199,SP_GS_R,,,PSIR,9,1066,02b,VL126R,BSPGSR,L0773816,C1720160,,,,16,,950122,L0757553,,C1720158,SP_GS_R,PSIR,V1201222,11,X.31Air..GSF_L0R,SIGNAL
126509,126509,,3980,YR,"0,35",sw br,P1222199,QAG_R,5,28303,PSIR,13,1066,01a,VL127R,band,L0757558,C2132658,,,,,,950123,L0757556,,C2131635,QAG_R,PSIR,,,X.Sitzbe_Erken..FAE_L0R,SIGNAL
126510,126510,,3980,YR,"0,35",br bl,P1222199,QAG_R,39,28303,PSIR,14,1066,01a,VL127R,band,L0757558,C2132658,,,,,,950122,L0757557,,C2131637,QAG_R,PSIR,,,M.31-SM..FAE_L0R,SIGNAL
126511,126511,,3140,YR,"0,35",gn bl,P1222199,PSIL,13,1066,QAG_R,40,28303,01a,VL128R,band,L0717511,C2268605,,,,,,950151,L0717497,,C2262734,PSIL,QAG_R,,,S.SBEBF..L0R,SIGNAL
126512,126512,,3140,YR,"0,35",br,P1222199,PSIL,14,1066,QAG_R,6,28303,01a,VL128R,band,L0717511,C2268605,,,,,,950002,L0717491,,C2262735,PSIL,QAG_R,,,M.BAG_31a..L0R,SIGNAL
126513,126513,,3190,YR,"0,35",gn sw,P1222199,PSIL,8,1066,QAG_R,75,28303,02b,VL129R,BSPGSR,L0773817,C2132664,,,,,,950150,L0735879,,C2131616,PSIL,QAG_R,V1201222,11,S.GS_HA_BF..L0R,SIGNAL
126514,126514,,3190,YR,"0,35",br bl,P1222199,PSIL,9,1066,SP_GS_R,,,02b,VL129R,BSPGSR,L0773817,C2132664,,,,,16,950122,L0757553,,C2131617,PSIL,SP_GS_R,V1201222,11,X.31Air..GSF_L0R,SIGNAL
126515,126515,,840,YR,"0,35",bl,P1222198,ESBH_R,1,24150,EGHB_R,2,24351,05c,VL658R,BSBSNR,L0812622,C2132668,,,,,,950006,L0811826,,C2131668,ESBH_R,EGHB_R,V1202402,5,X.31Air..GS_H2_L0R,SIGNAL
126515,126515,,840,YR,"0,35",bl,P1222199,ESBH_R,1,24150,EGHB_R,2,24351,05c,VL658R,BSBSBR,L0812622,C2132668,,,,,,950006,L0811826,,C2131668,ESBH_R,EGHB_R,V1202245,4,X.31Air..GS_H2_L0R,SIGNAL
126516,126516,,4950,YR,"0,35",ge,P1222199,SP_SBS_B_R,,,QAG_R,79,28303,,VL130R,BGURTT,L0816407,C2132669,,,,16,,950003,L0764055,,C2131801,SP_SBS_B_R,QAG_R,V1201114,15,X.BAG_GuHBF..L0R,SIGNAL
126517,126517,,4950,YR,"0,35",br,P1222199,ESBH_R,2,24150,SP_GURT_R,,,,VL130R,BGURTT,L0816407,C2132669,,,,,16,950002,L0470534,,C2131799,ESBH_R,SP_GURT_R,V1201114,15,X.31Air..GS_H_STG_L0R,SIGNAL
126520,126520,,270,YR,"0,35",br bl,P1222199,SP_GS_R,,,QAG_R,76,28303,02b,BSPGSR,band,,,,,,16,,950122,L0741611,,C1527993,SP_GS_R,QAG_R,V1201222,11,X.31Air..GSF_L0R,SIGNAL
126521,126521,,270,YR,"0,35",br,P1222199,SP_GURT_R,,,QAG_R,80,28303,BGURTT,BGURTT,BSBSMR,,,,,,16,,950002,L0636418,,C1527938,SP_GURT_R,QAG_R,V1201114,15,X.31Air..GS_H_STG_L0R,SIGNAL
126522,126522,,1140,YR,"0,35",gn,P1222199,EGHB_R,3,24351,SP_SBS_M_R,,,05c,VL656R,BSBSBR,L0811795,C2134310,,,,,16,950004,L0714400,,C2133025,EGHB_R,SP_SBS_M_R,V1202245,4,,SIGNAL
126522,126522,,1140,YR,"0,35",gn,P1222198,EGHB_R,3,24351,SP_SBS_M_R,,,05c,VL656R,BSBSNR,L0811795,C2134310,,,,,16,950004,L0714400,,C2133025,EGHB_R,SP_SBS_M_R,V1202402,5,,SIGNAL
126523,126523,,1540,YR,"0,35",vi,P1222198,SP_SBS_F_R,,,EGHF_R,1,24353,,VL657R,BSBSOR,L0812621,C2132667,,,,16,,950007,L0812619,,C2131674,SP_SBS_F_R,EGHF_R,V1202401,4,,SIGNAL
126523,126523,,1540,YR,"0,35",vi,P1222199,SP_SBS_F_R,,,EGHF_R,1,24353,,VL657R,BSBSFR,L0812621,C2132667,,,,16,,950007,L0812619,,C2131674,SP_SBS_F_R,EGHF_R,V1202244,3,,SIGNAL
126524,126524,,840,YR,"0,35",ge,P1222198,SP_SBS_B_R,,,EGHB_R,1,24351,05c,VL658R,BSBSNR,L0812622,C2132668,,,,16,,950003,L0812620,,C2131671,SP_SBS_B_R,EGHB_R,V1202402,5,,SIGNAL
126524,126524,,840,YR,"0,35",ge,P1222199,SP_SBS_B_R,,,EGHB_R,1,24351,05c,VL658R,BSBSBR,L0812622,C2132668,,,,16,,950003,L0812620,,C2131671,SP_SBS_B_R,EGHB_R,V1202245,4,,SIGNAL
126525,126525,,5350,YR,"0,35",br,P1222198,ESMH_R,2,24150,SP_GURT_R,,,,VL221R,BGURTR,L0945406,C2269629,,,,,16,950002,L0470534,,C1495865,ESMH_R,SP_GURT_R,V1202313,5,X.31Air..GS_H_STG_L0R,SIGNAL
126526,126526,,5350,YR,"0,35",gn,P1222198,SP_SBS_M_R,,,QAGU_R,93,10433,,VL221R,BGURTR,L0945406,C2269629,,,,16,,950004,L0805249,,C2269625,SP_SBS_M_R,QAGU_R,V1202313,5,S.GS_HA_BF..rC_L0R,SIGNAL
126527,126527,,5460,YR,"0,35",br,P1222198,ESFH_R,2,24150,SP_GURT_R,,,,VL222R,BGURTR,L0945696,C2269639,,,,,16,950002,L0470534,,C1331553,ESFH_R,SP_GURT_R,V1202313,5,X.31Air..GS_H_STG_L0R,SIGNAL
126528,126528,,5460,YR,"0,35",vi,P1222198,SP_SBS_F_R,,,QAGU_R,92,10433,,VL222R,BGURTR,L0945696,C2269639,,,,16,,950007,L0945695,,C2269577,SP_SBS_F_R,QAGU_R,V1202313,5,S.GS_HA_F..rD_L0R,SIGNAL
126529,126529,,3980,YR,"0,35",gn rt,P1222198,QAGU_R,81,10433,PSIR,8,1066,02b,VL223R,BGPGSR,L0945414,C2269635,,,,,,950170,L0945405,,C2269628,QAGU_R,PSIR,V1202310,5,S.GS_HA_F..fD_L0R,SIGNAL
126530,126530,,3980,YR,"0,35",br bl,P1222198,SP_GS_R,,,PSIR,9,1066,02b,VL223R,BGPGSR,L0945414,C2269635,,,,16,,950122,L0757553,,C2131634,SP_GS_R,PSIR,V1202310,5,X.31Air..GSF_L0R,SIGNAL
126531,126531,,3980,YR,"0,35",sw br,P1222198,QAGU_R,83,10433,PSIR,13,1066,02b,VL224R,BGPGSR,L0945415,C2269636,,,,,,950123,L0945407,,C2269630,QAGU_R,PSIR,V1202310,5,X.Sitzbe_Erken..FAE_L0R,SIGNAL
126532,126532,,3980,YR,"0,35",br bl,P1222198,SP_GS_R,,,PSIR,14,1066,02b,VL224R,BGPGSR,L0945415,C2269636,,,,16,,950122,L0757553,,C2131634,SP_GS_R,PSIR,V1202310,5,M.31-SM..FAE_L0R,SIGNAL
126533,126533,,3170,YR,"0,35",gn bl,P1222198,PSIL,13,1066,QAGU_R,85,10433,01a,VL225R,band,L0945416,C2269637,,,,,,950151,L0945409,,C2269632,PSIL,QAGU_R,,,S.SBEBF..L0R,SIGNAL
126534,126534,,3170,YR,"0,35",br,P1222198,PSIL,14,1066,QAGU_R,88,10433,01a,VL225R,band,L0945416,C2269637,,,,,,950002,L0945359,,C2269627,PSIL,QAGU_R,,,M.BAG_31a..L0R,SIGNAL
126535,126535,,3190,YR,"0,35",gn sw,P1222198,PSIL,8,1066,QAGU_R,82,10433,02b,VL226R,BGPGSR,L0945417,C2269638,,,,,,950150,L0945410,,C2269633,PSIL,QAGU_R,V1202310,5,S.GS_HA_BF..L0R,SIGNAL
126536,126536,,3190,YR,"0,35",br bl,P1222198,PSIL,9,1066,SP_GS_R,,,02b,VL226R,BGPGSR,L0945417,C2269638,,,,,16,950122,L0757553,,C2131617,PSIL,SP_GS_R,V1202310,5,X.31Air..GSF_L0R,SIGNAL
126537,126537,,4950,YR,"0,35",ge,P1222198,SP_SBS_B_R,,,QAGU_R,94,10433,,VL227R,BGURTR,L0945408,C2269631,,,,16,,950003,L0908268,,C2269626,SP_SBS_B_R,QAGU_R,V1202313,5,X.BAG_GuHBF..L0R,SIGNAL
126538,126538,,4950,YR,"0,35",br,P1222198,ESBH_R,2,24150,SP_GURT_R,,,,VL227R,BGURTR,L0945408,C2269631,,,,,16,950002,L0470534,,C2131799,ESBH_R,SP_GURT_R,V1202313,5,X.31Air..GS_H_STG_L0R,SIGNAL
126539,126539,,140,YR,"0,35",br bl,P1222198,SP_GS_R,,,QAGU_R,84,10433,02b,BGPGSR,band,,,,,,16,,950122,L0945411,,C2269634,SP_GS_R,QAGU_R,V1202310,5,X.31Air..GSF_L0R,SIGNAL
126540,126540,,270,YR,"0,35",br,P1222198,SP_GURT_R,,,QAGU_R,95,10433,BGURTR,BGURTR,BSBSPR,,,,,,16,,950002,L0691947,,C2269624,SP_GURT_R,QAGU_R,V1202313,5,X.31Air..GS_H_STG_L0R,SIGNAL
155007,155007,,3520,YR,"0,35",br ws,P1220211,EISP1,2,800,SP_MB639C2,,,10x,band,pfsb,,,,,,,16,950103,L0517522,,C2183259,EISP1,SP_MB639C2,,,M.31..MB639_C1,SIGNAL
155007,155007,,3520,YR,"0,35",br ws,P1220212,EISP1,2,800,SP_MB639C2,,,10x,band,pfsb,,,,,,,16,950103,L0517522,,C2183259,EISP1,SP_MB639C2,,,M.31..MB639_C1,SIGNAL
155008,155008,,840,YR,"0,35",ge rt,P1220211,EISP1,6,800,LIV,10,24148,10x,band,pfsb,,,,,,,,950126,L0565434,,C2132936,EISP1,LIV,,,M.31..MB639_C1,SIGNAL
155008,155008,,840,YR,"0,35",ge rt,P1220212,EISP1,6,800,LIV,10,24148,10x,band,pfsb,,,,,,,,950126,L0565434,,C2132936,EISP1,LIV,,,M.31..MB639_C1,SIGNAL
155009,155009,,2620,YR,"0,35",sw ge,P1220211,EISP1,1,800,FBO,59A,24161,10x,band,pfsb,,,,,,,,950165,L0771190,,C2183281,EISP1,FBO,,,V.15A..LVI_F59,SIGNAL
155009,155009,,2620,YR,"0,35",sw ge,P1220212,EISP1,1,800,FBO,59A,24161,10x,band,pfsb,,,,,,,,950165,L0771190,,C2183281,EISP1,FBO,,,V.15A..LVI_F59,SIGNAL
155010,155010,,2690,YR,"0,35",sw bl,P1220211,QSAA,72,1006417,EISP1,3,800,10x,band,pfsb,,,,,,,,950132,L0894304,,C2183283,QSAA,EISP1,,,V.RFL..SAM_A64,SIGNAL
155010,155010,,2690,YR,"0,35",sw bl,P1220212,QSAA,72,1006417,EISP1,3,800,10x,band,pfsb,,,,,,,,950132,L0894304,,C2183283,QSAA,EISP1,,,V.RFL..SAM_A64,SIGNAL
155511,155511,,4420,YR,"0,35",sw rt,P1220211,PASR,27,1060,EISP1,5,800,10x,band,pfsb,,,,,,,,950147,L0714748,,C2183270,PASR,EISP1,,,S.Sp-XY..EC-,SIGNAL
155512,155512,,4420,YR,"0,35",bl rt,P1220211,PASR,26,1060,EISP1,4,800,10x,band,pfsb,,,,,,,,950143,L0727028,,C2183274,PASR,EISP1,,,S.Sp-XY..EC+,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219313,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219314,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219318,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219319,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219321,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219324,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219325,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223023,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223024,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223238,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223242,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223243,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223244,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223246,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223247,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223248,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223249,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223250,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223251,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223252,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223253,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1223254,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1224142,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1218749,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1218752,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161001,161001,SL038R,500,FLS,"0,35",gr,P1219309,QEPB,23,24148,SP_CANFASH2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASH2,V1201642,9,D.CAN_FAS_H..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1218749,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1218752,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1219309,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1219313,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1219318,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1219319,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1219324,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1219325,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223024,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223242,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223243,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223244,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223246,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223247,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223248,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
161002,161002,SL038R,500,FLS,"0,35",or br,P1223250,QEPB,22,24148,SP_CANFASL2,,,15g,SL038R,band,,,,,,"3,6",16,,,L0697691,,QEPB,SP_CANFASL2,V1201642,9,D.CAN_FAS_L..FD,SIGNAL
